date;Brazil;China;Colombia;France;Ghana;India;Indonesia;Japan;Netherlands;Senegal;Singapore;Switzerland;United States
1980-02-01;0.08477089413160582;0.0;0.26627748123318773;0.1354189774161039;0.5560626139804512;0.11511081228527609;0.17554636691064454;0.07539713528277824;0.065322462536232;0.08494374832356037;0.08498199758751053;0.042281494489762844;0.13281328088744124
1980-03-01;0.16954178826321165;0.0;0.2670284098111095;0.1352121663491918;0.6114238345245383;0.11656901556412316;0.17073843220439605;0.07300845290998498;0.06551035644274221;0.08259722003988786;0.08469456323243546;0.044338002028724684;0.1301345420251985
1980-04-01;0.25431268239481747;0.0;0.26777933838903123;0.13500535528227975;0.6667850550686255;0.11802721884297025;0.16593049749814753;0.0706197705371917;0.06569825034925242;0.08025069175621533;0.0844071288773604;0.04639450956768652;0.12745580316295574
1980-05-01;0.3390835765264233;0.0;0.268530266966953;0.13479854421536766;0.7221462756127127;0.11948542212181733;0.16112256279189904;0.06823108816439843;0.06588614425576263;0.0779041634725428;0.08411969452228533;0.04845101710664836;0.124777064300713
1980-06-01;0.4238544706580291;0.0;0.26928119554487473;0.13459173314845557;0.7775074961567998;0.12094362540066442;0.15631462808565053;0.06584240579160518;0.06607403816227284;0.07555763518887028;0.08383226016721027;0.0505075246456102;0.12209832543847024
1980-07-01;0.5086253647896349;0.0;0.2700321241227965;0.1343849220815435;0.832868716700887;0.12240182867951149;0.15150669337940204;0.0634537234188119;0.06626193206878303;0.07321110690519775;0.08354482581213521;0.05256403218457205;0.1194195865762275
1980-08-01;0.5933962589212407;0.0;0.27078305270071823;0.13417811101463142;0.8882299372449742;0.12386003195835858;0.14669875867315352;0.06106504104601864;0.06644982597529324;0.07086457862152523;0.08325739145706014;0.05462053972353388;0.11674084771398474
1980-09-01;0.6781671530528466;0.0;0.27153398127864;0.13397129994771934;0.9435911577890614;0.12531823523720567;0.14189082396690503;0.058676358673225376;0.06663771988180345;0.0685180503378527;0.08296995710198507;0.05667704726249573;0.11406210885174199
1980-10-01;0.7629380471844525;0.0;0.27228490985656173;0.13376448888080725;0.9989523783331485;0.12677643851605275;0.1370828892606565;0.056287676300432105;0.06682561378831366;0.06617152205418017;0.08268252274691;0.05873355480145756;0.11138336998949924
1980-11-01;0.8477089413160582;0.0;0.2730358384344835;0.13355767781389516;1.0543135988772359;0.12823464179489982;0.13227495455440802;0.05389899392763884;0.06701350769482387;0.06382499377050765;0.08239508839183493;0.06079006234041941;0.10870463112725649
1980-12-01;0.932479835447664;0.0;0.27378676701240523;0.1333508667469831;1.1096748194213228;0.12969284507374693;0.1274670198481595;0.051510311554845575;0.06720140160133407;0.061478465486835124;0.08210765403675988;0.06284656987938124;0.10602589226501374
1981-01-01;1.0172507295792699;0.0;0.274537695590327;0.133144055680071;1.16503603996541;0.131151048352594;0.122659085141911;0.049121629182052304;0.06738929550784428;0.05913193720316259;0.0818202196816848;0.06490307741834309;0.103347153402771
1981-02-01;1.016265968110039;0.0;0.272260372743514;0.13203077766704885;1.0865293419750337;0.12679451987645451;0.12030868134136385;0.047312360879907464;0.06669943191539826;0.06868459678364254;0.07826544035816276;0.06420707316945094;0.09984441311943586
1981-03-01;1.0152812066408083;0.0;0.26998304989670097;0.1309174996540267;1.0080226439846571;0.12243799140031503;0.11795827754081671;0.04550309257776262;0.06600956832295225;0.07823725636412249;0.0747106610346407;0.0635110689205588;0.09634167283610073
1981-04-01;1.0142964451715775;0.0;0.267705727049888;0.12980422164100452;0.9295159459942808;0.11808146292417555;0.11560787374026957;0.04369382427561778;0.06531970473050623;0.08778991594460245;0.07115588171111865;0.06281506467166667;0.0928389325527656
1981-05-01;1.0133116837023466;0.0;0.265428404203075;0.12869094362798233;0.8510092480039044;0.11372493444803607;0.11325746993972242;0.04188455597347294;0.06462984113806022;0.09734257552508238;0.0676011023875966;0.06211906042277453;0.08933619226943046
1981-06-01;1.0123269222331157;0.0;0.26315108135626203;0.12757766561496017;0.772502550013528;0.10936840597189658;0.11090706613917528;0.04007528767132809;0.0639399775456142;0.10689523510556234;0.06404632306407455;0.061423056173882384;0.08583345198609534
1981-07-01;1.0113421607638848;0.0;0.260873758509449;0.126464387601938;0.6939958520231515;0.1050118774957571;0.10855666233862815;0.03826601936918325;0.0632501139531682;0.11644789468604229;0.0604915437405525;0.06072705192499024;0.0823307117027602
1981-08-01;1.0103573992946542;0.0;0.258596435662636;0.12535110958891585;0.6154891540327752;0.10065534901961762;0.10620625853808101;0.03645675106703841;0.06256025036072217;0.12600055426652224;0.05693676441703045;0.060031047676098105;0.07882797141942507
1981-09-01;1.0093726378254233;0.0;0.25631911281582304;0.12423783157589367;0.5369824560423987;0.09629882054347813;0.10385585473753386;0.034647482764893565;0.06187038676827616;0.1355532138470022;0.0533819850935084;0.05933504342720596;0.07532523113608994
1981-10-01;1.0083878763561924;0.0;0.25404178996901;0.12312455356287151;0.45847575805202223;0.09194229206733864;0.10150545093698672;0.032838214462748726;0.06118052317583014;0.14510587342748213;0.04982720576998635;0.058639039178313826;0.0718224908527548
1981-11-01;1.0074031148869618;0.0;0.251764467122197;0.12201127554984935;0.3799690600616459;0.08758576359119916;0.09915504713643958;0.031028946160603883;0.06049065958338413;0.15465853300796206;0.0462724264464643;0.05794303492942168;0.06831975056941966
1981-12-01;1.006418353417731;0.0;0.24948714427538404;0.12089799753682717;0.3014623620712694;0.08322923511505968;0.09680464333589243;0.02921967785845904;0.05980079599093811;0.16421119258844202;0.04271764712294225;0.05724703068052955;0.06481701028608454
1982-01-01;1.0054335919485;0.0;0.24720982142857104;0.11978471952380501;0.222955664080893;0.0788727066389202;0.09445423953534529;0.0274104095563142;0.0591109323984921;0.17376385216892198;0.0391628677994202;0.056551026431637404;0.0613142700027494
1982-02-01;1.0341703889420975;0.0;0.24294009917305812;0.11768561662378221;0.3067714542179786;0.08219070104827668;0.09641617000866451;0.02670930852119209;0.05646905705314639;0.1689643516283014;0.036896304455882614;0.054296634792034795;0.05888177686348748
1982-03-01;1.0629071859356949;0.0;0.2386703769175452;0.11558651372375942;0.3905872443550642;0.08550869545763316;0.09837810048198374;0.02600820748606998;0.05382718170780068;0.1641648510876808;0.034629741112345035;0.05204224315243219;0.05644928372422555
1982-04-01;1.0916439829292925;0.0;0.23440065466203228;0.1134874108237366;0.47440303449214977;0.08882668986698965;0.10034003095530297;0.025307106450947872;0.051185306362454976;0.15936535054706025;0.03236317776880745;0.04978785151282958;0.05401679058496363
1982-05-01;1.12038077992289;0.0;0.23013093240651936;0.1113883079237138;0.5582188246292353;0.09214468427634613;0.10230196142862219;0.024606005415825766;0.04854343101710926;0.15456585000643966;0.03009661442526987;0.04753345987322697;0.0515842974457017
1982-06-01;1.1491175769164874;0.0;0.22586121015100646;0.10928920502369101;0.642034614766321;0.09546267868570263;0.10426389190194141;0.023904904380703657;0.04590155567176356;0.14976634946581907;0.027830051081732282;0.04527906823362436;0.04915180430643978
1982-07-01;1.177854373910085;0.0;0.22159148789549354;0.1071901021236682;0.7258504049034065;0.09878067309505911;0.10622582237526064;0.023203803345581548;0.043259680326417846;0.14496684892519848;0.0255634877381947;0.043024676594021746;0.046719311167177854
1982-08-01;1.2065911709036825;0.0;0.21732176563998062;0.1050909992236454;0.809666195040492;0.1020986675044156;0.10818775284857987;0.02250270231045944;0.04061780498107214;0.1401673483845779;0.023296924394657116;0.040770284954419145;0.044286818027915925
1982-09-01;1.23532796789728;0.0;0.2130520433844677;0.1029918963236226;0.8934819851775777;0.10541666191377208;0.11014968332189909;0.02180160127533733;0.037975929635726435;0.13536784784395733;0.021030361051119533;0.03851589331481653;0.041854324888653996
