date;bank capital to assets ratio;bank nonperforming loans;cereal yield;energy imports;food exports;high-tech exports;inflation;lending interest rate;life expectancy;population density;real interest rate;broad money;exports of goods and services;gross domestic savings;high-tech value added;household consumption expenditure;imports of goods and services;listed companies;manufacturing value added;r and d spend;services trade;trade;government debt service;government interest payments external debt;government tax revenue;birth deaths;broadband subscriptions;electricity access;co2 emissions;electricity consumption;mobile subscriptions;newborns;overweight;rural population;unemployed;urban population;workers
2012-11-01;0.05416287153332371;0.0396502894902349;2.68000562962963;-0.14322231045867942;0.1676666103079919;0.06184995471123193;0.03311962902816721;0.06747235646347595;63.24483880964943;0.4081571644533719;0.041369241707903445;0.8974273594163072;0.26678697133387247;0.25667799571406447;0.06777717581147326;0.5269616251404972;0.261954037364881;0.7730395822466425;0.15596738416874556;0.018964219984143656;0.11983339087344128;0.5910960571889872;0.058291445686607615;0.017273477342969367;1.0;0.006543123540073541;0.09450730388862062;0.851677529896357;4.700327492789472;2.9587648711950054;0.9158463736075066;0.019438568808245744;0.23554839782949985;0.4711389976869197;0.009580461572780438;0.5286017006224487;0.10165630715681337
2012-12-01;0.05434737469607706;0.040032755930687954;2.6903030370370375;-0.14387662405227178;0.1669300520439758;0.0616860804572648;0.031458111533506826;0.06743751391486502;63.20863304416507;0.4085134413627747;0.0423077995034689;0.8994772168843964;0.2668364461513262;0.2566526948800379;0.06771707022055341;0.5267377335891773;0.2619167426123793;0.7819345375286643;0.15584511534029466;0.018997811767687042;0.12002885789634087;0.5905937636221774;0.05833596614130523;0.017101332591866518;1.0;0.006519084205111514;0.09491693215279694;0.851777190331426;4.696672988920906;2.9634056666473096;0.9196252444330284;0.019422050912751985;0.23583784376983796;0.47076518134707934;0.009594386981509419;0.5289755515541391;0.10221755555674798
2013-01-01;0.0545318778588304;0.040415222371141;2.700600444444445;-0.1445309376458641;0.16619349377995968;0.061522206203297666;0.02979659403884644;0.06740267136625411;63.17242727868071;0.40886971827217744;0.04324635729903436;0.9015270743524855;0.2668859209687799;0.25662739404601137;0.06765696462963355;0.5265138420378576;0.26187944785987766;0.790829492810686;0.15572284651184373;0.019031403551230428;0.12022432491924046;0.5900914700553677;0.05838048659600284;0.016929187840763672;1.0;0.0064950448701494865;0.09532656041697327;0.8518768507664949;4.693018485052338;2.9680464620996143;0.92340411525855;0.019405533017258225;0.23612728971017607;0.470391365007239;0.009608312390238398;0.5293494024858295;0.1027788039566826
2013-02-01;0.05454280997958002;0.04036593842947615;2.7068781111111115;-0.14354662676028815;0.16608702297768746;0.06147264719785585;0.029702660354451002;0.06732121955664792;63.197004669200986;0.40930421583880633;0.04324868672709272;0.9026482626963498;0.2670118028686162;0.2567717089405885;0.06768609948997735;0.5261323226281966;0.2619223904803451;0.7922373736786942;0.15580693053444705;0.01900494377326627;0.12062954088849089;0.5897895697490062;0.059384722121045334;0.017038087377588104;1.0;0.006472979900792112;0.0956671353893034;0.8523179269902069;4.691176895770277;2.969583971665152;0.9264185061751908;0.019398647860448807;0.23642966439366475;0.4700160406836954;0.009540597598969469;0.5297250068306207;0.10272694331910552
2013-03-01;0.05455374210032964;0.040316654487811306;2.7131557777777786;-0.1425623158747122;0.16598055217541527;0.06142308819241404;0.029608726670055565;0.06723976774704174;63.22158205972127;0.4097387134054352;0.04325101615515109;0.9037694510402142;0.26713768476845245;0.2569160238351656;0.06771523435032113;0.5257508032185356;0.2619653331008126;0.7936452545467023;0.15589101455705034;0.018978483995302112;0.12103475685774133;0.5894876694426449;0.06038895764608782;0.017146986914412538;1.0;0.006450914931434738;0.09600771036163352;0.852759003213919;4.689335306488215;2.9711214812306896;0.9294328970918316;0.01939176270363939;0.23673203907715343;0.46964071636015176;0.009472882807700542;0.530100611175412;0.10267508268152843
2013-04-01;0.05456467422107926;0.04026737054614646;2.7194334444444452;-0.14157800498913622;0.16587408137314305;0.061373529186972225;0.029514792985660128;0.06715831593743557;63.24615945024155;0.41017321097206405;0.04325334558320945;0.9048906393840785;0.26726356666828877;0.2570603387297427;0.06774436921066493;0.5253692838088746;0.26200827572128005;0.7950531354147105;0.15597509857965366;0.018952024217337955;0.12143997282699176;0.5891857691362834;0.06139319317113032;0.01725588645123697;1.0;0.006428849962077364;0.09634828533396365;0.853200079437631;4.687493717206154;2.9726589907962273;0.9324472880084724;0.019384877546829972;0.2370344137606421;0.4692653920366081;0.009405168016431613;0.5304762155202032;0.10262322204395136
2013-05-01;0.05457560634182888;0.04021808660448161;2.725711111111112;-0.14059369410356026;0.16576761057087083;0.06132397018153041;0.029420859301264687;0.06707686412782939;63.27073684076183;0.41060770853869294;0.04325567501126781;0.906011827727943;0.2673894485681251;0.2572046536243198;0.06777350407100872;0.5249877643992137;0.2620512183417475;0.7964610162827186;0.15605918260225699;0.018925564439373797;0.12184518879624219;0.588883868829922;0.06239742869617281;0.017364785988061404;1.0;0.00640678499271999;0.09668886030629378;0.853641155661343;4.685652127924092;2.9741965003617654;0.9354616789251131;0.019377992390020554;0.23733678844413078;0.4688900677130645;0.009337453225162686;0.5308518198649944;0.10257136140637427
2013-06-01;0.0545865384625785;0.04016880266281676;2.7319887777777785;-0.1396093832179843;0.16566113976859864;0.06127441117608859;0.02932692561686925;0.0669954123182232;63.29531423128211;0.41104220610532183;0.043258004439326175;0.9071330160718073;0.26751533046796133;0.25734896851889694;0.06780263893135251;0.5246062449895528;0.262094160962215;0.7978688971507267;0.15614326662486028;0.01889910466140964;0.12225040476549263;0.5885819685235606;0.0634016642212153;0.017473685524885835;1.0;0.006384720023362616;0.09702943527862391;0.854082231885055;4.683810538642031;2.975734009927303;0.9384760698417539;0.019371107233211136;0.23763916312761946;0.4685147433895209;0.009269738433893757;0.5312274242097856;0.10251950076879719
2013-07-01;0.05459747058332812;0.04011951872115192;2.738266444444445;-0.13862507233240834;0.16555466896632642;0.06122485217064678;0.029232991932473813;0.06691396050861702;63.31989162180239;0.4114767036719507;0.04326033386738454;0.9082542044156716;0.26764121236779764;0.257493283413474;0.0678317737916963;0.5242247255798917;0.26213710358268244;0.7992767780187349;0.1562273506474636;0.01887264488344548;0.12265562073474306;0.5882800682171991;0.0644058997462578;0.017582585061710267;1.0;0.006362655054005241;0.09737001025095404;0.8545233081087671;4.68196894935997;2.9772715194928407;0.9414904607583947;0.01936422207640172;0.2379415378111081;0.4681394190659773;0.009202023642624828;0.5316030285545768;0.10246764013122012
2013-08-01;0.05460840270407774;0.040070234779487075;2.744544111111112;-0.1376407614468324;0.1654481981640542;0.061175293165204966;0.029139058248078376;0.06683250869901083;63.34446901232267;0.4119112012385796;0.043262663295442906;0.909375392759536;0.26776709426763395;0.2576375983080511;0.0678609086520401;0.5238432061702307;0.2621800462031499;0.800684658886743;0.15631143467006692;0.018846185105481323;0.1230608367039935;0.5879781679108378;0.06541013527130028;0.0176914845985347;1.0;0.006340590084647867;0.09771058522328416;0.8549643843324792;4.680127360077908;2.9788090290583784;0.9445048516750355;0.019357336919592304;0.23824391249459678;0.46776409474243363;0.009134308851355901;0.531978632899368;0.10241577949364303
