date,bank capital to assets ratio,bank nonperforming loans,cereal yield,energy imports,food exports,high-tech exports,inflation,lending interest rate,life expectancy,population density,real interest rate,broad money,exports of goods and services,gross domestic savings,high-tech value added,household consumption expenditure,imports of goods and services,listed companies,manufacturing value added,r and d spend,services trade,trade,government debt service,government interest payments external debt,government tax revenue,birth deaths,broadband subscriptions,electricity access,co2 emissions,electricity consumption,mobile subscriptions,newborns,overweight,rural population,unemployed,urban population,workers,Brazil,China,Colombia,France,Ghana,India,Indonesia,Japan,Netherlands,Senegal,Singapore,Switzerland,United States
2006-04-01,0.015080132742357984,0.009200865994770002,2.353837,-0.19671466141032684,0.1668234370566809,0.06911000308747982,0.07431941415628321,0.10151398593817312,61.48732962059619,0.3727285116392408,0.05089917616092099,0.7664396926576776,0.2549114492195548,0.25869524343140193,0.07212894469679225,0.5443533821592289,0.25181976872335343,0.955869732308704,0.1615026351452955,0.01793664246402406,0.11140916198874087,0.5713624173712671,0.058975409947920915,0.015407675789316047,1.0,0.008760277264778207,0.044737375522037236,0.8131403606986225,4.3775165078148826,2.6326974063746182,0.43468857930041294,0.020428590629579226,0.2099006815437404,0.5028151244886475,0.00754056734571837,0.4969194505999152,0.08438235664702387,0.040479943444834,0.0244126615440923,0.0460616565911197,0.01628342886950105,0.10869559493021022,0.06201640977507473,0.11433144777211528,0.002020262006839937,0.012295904483880377,0.0304754045024755,0.012485170098441963,0.009777279494280562,0.031326261959034
2006-05-01,0.015201490993064962,0.009125293572456712,2.3546746666666665,-0.19614391317451169,0.166455606469579,0.06827185956828374,0.07310512448830872,0.10178352121602917,61.541240939476054,0.3731519567768515,0.05160468413127832,0.7674197550350208,0.2554038679677731,0.2590822415453296,0.07229910867939376,0.5441796563854965,0.25255056818425325,0.9641915441218128,0.16178796361325004,0.017924507049587958,0.11177655223147688,0.5721643802291139,0.05829136633929422,0.01540384007631245,1.0,0.008728947180463789,0.04549912606991822,0.8136190421738804,4.383364561000411,2.6397386551738258,0.4420323801984624,0.02042186992088294,0.21024676590076324,0.5024041042843053,0.007655304115313555,0.4973305625954518,0.08544152769520291,0.04002803082988193,0.02705210505412373,0.0471041224179556,0.016127490172377138,0.10854356001626632,0.06220347173990075,0.1087463567010547,0.001862498955522929,0.0127228690945837,0.0335929198740636,0.013436735430188246,0.00950462247407132,0.03101520227636506
2006-06-01,0.015322849243771943,0.009049721150143427,2.355512333333333,-0.19557316493869653,0.1660877758824771,0.06743371604908767,0.07189083482033426,0.10205305649388527,61.595152258355895,0.3735754019144623,0.05231019210163565,0.7683998174123639,0.2558962867159914,0.2594692396592572,0.07246927266199528,0.5440059306117639,0.2532813676451531,0.9725133559349216,0.16207329208120458,0.01791237163515185,0.11214394247421283,0.5729663430869606,0.05760732273066755,0.015400004363308854,1.0,0.008697617096149371,0.046260876617799186,0.8140977236491382,4.389212614185939,2.6467799039730333,0.449376181096512,0.020415149212186658,0.21059285025778607,0.5019930840799631,0.007770040884908741,0.4977416745909884,0.08650069874338194,0.03957611821492986,0.02969154856415516,0.048146588244791504,0.01597155147525322,0.1083915251023224,0.062390533704726775,0.10316126562999414,0.0017047359042059215,0.013149833705287023,0.0367104352456517,0.014388300761934527,0.009231965453862071,0.03070414259369613
2006-07-01,0.015444207494478925,0.008974148727830138,2.35635,-0.19500241670288135,0.1657199452953752,0.06659557252989155,0.0706765451523598,0.10232259177174133,61.649063577235744,0.37399884705207304,0.05301570007199298,0.7693798797897069,0.2563887054642097,0.2598562377731849,0.07263943664459678,0.5438322048380315,0.25401216710605296,0.9808351677480304,0.16235862054915912,0.01790023622071574,0.11251133271694884,0.5737683059448073,0.05692327912204088,0.015396168650305256,1.0,0.008666287011834951,0.04702262716568017,0.8145764051243961,4.3950606673714665,2.653821152772241,0.4567199819945614,0.02040842850349037,0.21093893461480887,0.5015820638756209,0.007884777654503926,0.498152786586525,0.08755986979156098,0.0391242055999778,0.032330992074186604,0.0491890540716274,0.0158156127781293,0.10823949018837847,0.06257759566955283,0.09757617455893358,0.001546972852888914,0.01357679831599035,0.0398279506172398,0.015339866093680809,0.008959308433652825,0.0303930829110272
2006-08-01,0.015565565745185903,0.008898576305516851,2.3571876666666665,-0.19443166846706625,0.1653521147082733,0.06575742901069546,0.06946225548438534,0.1025921270495974,61.702974896115606,0.37442229218968376,0.05372120804235031,0.7703599421670501,0.2568811242124279,0.2602432358871125,0.07280960062719828,0.5436584790642991,0.25474296656695283,0.9891569795611392,0.16264394901711365,0.01788810080627963,0.1128787229596848,0.5745702688026539,0.056239235513414185,0.01539233293730166,1.0,0.008634956927520534,0.04778437771356114,0.8150550865996541,4.400908720556996,2.660862401571448,0.4640637828926109,0.020401707794794083,0.21128501897183175,0.5011710436712786,0.00799951442409911,0.4985638985820616,0.08861904083973997,0.03867229298502573,0.03497043558421803,0.0502315198984633,0.015659674081005385,0.10808745527443456,0.06276465763437886,0.091991083487873,0.0013892098015719065,0.014003762926693673,0.0429454659888279,0.01629143142542709,0.00868665141344358,0.030082023228358262
2006-09-01,0.015686923995892884,0.008823003883203565,2.358025333333333,-0.1938609202312511,0.16498428412117142,0.06491928549149938,0.06824796581641086,0.10286166232745347,61.75688621499546,0.37484573732729454,0.05442671601270764,0.7713400045443931,0.25737354296064624,0.2606302340010401,0.07297976460979977,0.5434847532905667,0.25547376602785266,0.997478791374248,0.16292927748506816,0.017875965391843524,0.11324611320242077,0.5753722316605007,0.05555519190478751,0.015388497224298062,1.0,0.008603626843206116,0.04854612826144212,0.8155337680749118,4.406756773742523,2.6679036503706555,0.4714075837906605,0.0203949870860978,0.2116311033288546,0.5007600234669364,0.008114251193694294,0.4989750105775982,0.08967821188791901,0.038220380370073664,0.03760987909424947,0.0512739857252992,0.01550373538388147,0.10793542036049067,0.06295171959920487,0.08640599241681242,0.0012314467502548985,0.014430727537397,0.04606298136041599,0.017242996757173373,0.008413994393234333,0.02977096354568933
2006-10-01,0.015808282246599862,0.008747431460890277,2.3588629999999995,-0.19329017199543594,0.1646164535340695,0.06408114197230327,0.06703367614843639,0.10313119760530956,61.81079753387532,0.3752691824649053,0.05513222398306497,0.7723200669217363,0.25786596170886456,0.2610172321149677,0.0731499285924013,0.5433110275168342,0.2562045654887525,1.0058006031873568,0.1632146059530227,0.017863829977407417,0.11361350344515678,0.5761741945183474,0.054871148296160834,0.015384661511294462,1.0,0.008572296758891698,0.04930787880932309,0.8160124495501697,4.4126048269280504,2.674944899169863,0.4787513846887099,0.020388266377401515,0.21197718768587745,0.5003490032625941,0.00822898796328948,0.4993861225731349,0.09073738293609804,0.0377684677551216,0.040249322604280886,0.0523164515521351,0.015347796686757554,0.10778338544654677,0.06313878156403091,0.08082090134575187,0.0010736836989378908,0.014857692148100324,0.0491804967320041,0.018194562088919654,0.008141337373025087,0.0294599038630204
2006-11-01,0.015929640497306847,0.008671859038576991,2.359700666666666,-0.1927194237596208,0.1642486229469676,0.06324299845310719,0.06581938648046193,0.10340073288316562,61.86470885275517,0.375692627602516,0.055837731953422315,0.7733001292990793,0.2583583804570828,0.26140423022889536,0.0733200925750028,0.5431373017431018,0.2569353649496524,1.0141224150004655,0.1634999344209772,0.017851694562971306,0.11398089368789276,0.576976157376194,0.05418710468753415,0.015380825798290866,1.0,0.00854096667457728,0.05006962935720406,0.8164911310254276,4.4184528801135805,2.6819861479690696,0.4860951855867594,0.020381545668705228,0.21232327204290027,0.4999379830582519,0.008343724732884663,0.4997972345686714,0.09179655398427708,0.03731655514016953,0.04288876611431233,0.05335891737897099,0.015191857989633637,0.10763135053260284,0.06332584352885695,0.07523581027469131,0.0009159206476208832,0.015284656758803647,0.0522980121035922,0.019146127420665942,0.007868680352815842,0.02914884418035147
2006-12-01,0.016050998748013825,0.008596286616263703,2.3605383333333325,-0.19214867552380568,0.16388079235986572,0.0624048549339111,0.06460509681248748,0.10367026816102168,61.91862017163503,0.3761160727401268,0.05654323992377964,0.7742801916764225,0.2588507992053011,0.26179122834282303,0.07349025655760431,0.5429635759693693,0.25766616441055223,1.0224442268135745,0.16378526288893175,0.017839559148535196,0.11434828393062875,0.5777781202340407,0.05350306107890747,0.015376990085287269,1.0,0.008509636590262862,0.05083137990508504,0.8169698125006855,4.424300933299108,2.6890273967682776,0.4934389864848089,0.02037482496000894,0.21266935639992315,0.4995269628539097,0.008458461502479848,0.5002083465642081,0.0928557250324561,0.03686464252521746,0.045528209624343764,0.0544013832058069,0.01503591929250972,0.10747931561865892,0.06351290549368299,0.06965071920363074,0.0007581575963038754,0.015711621369506976,0.055415527475180304,0.020097692752412216,0.007596023332606595,0.028837784497682536
2007-01-01,0.016172356998720806,0.008520714193950417,2.361375999999999,-0.1915779272879905,0.1635129617727638,0.061566711414714995,0.06339080714451299,0.10393980343887776,61.97253149051488,0.3765395178777376,0.057248747894136975,0.7752602540537655,0.2593432179535194,0.26217822645675065,0.07366042054020581,0.5427898501956369,0.2583969638714521,1.030766038626683,0.1640705913568863,0.01782742373409909,0.11471567417336473,0.5785800830918875,0.05281901747028079,0.015373154372283673,1.0,0.008478306505948444,0.05159313045296601,0.8174484939759433,4.430148986484637,2.696068645567485,0.5007827873828584,0.020368104251312656,0.21301544075694595,0.4991159426495674,0.008573198272075033,0.5006194585597447,0.09391489608063512,0.0364127299102654,0.0481676531343752,0.0554438490326428,0.014879980595385802,0.10732728070471499,0.06369996745850902,0.06406562813257018,0.000600394544986868,0.0161385859802103,0.0585330428467684,0.0210492580841585,0.0073233663123973515,0.0285267248150136
